M,N,K,g,gm,gn,act_reuse_groups,wgt_reuse_groups,mtile,ntile,ktile,k_iters,area_x_g,resident_blocks,phase_count,cycles_total,cycles_compute,cycles_memory,cycles_control,cycles_exposed_load,overlap_hidden_cycles,overlap_hidden_ratio,overlap_hidden_load_ratio,overlap_ratio,utilization
128,128,896,2,1,2,1,2,8,64,128,7,1024,3,1,17408.0,15232.0,23552.0,0.0,128.0,21376.0,1.227941,0.994048,0.907609,1.0
128,256,640,2,1,2,1,2,8,64,128,5,1024,3,1,25984.0,21760.0,34816.0,0.0,128.0,30592.0,1.17734,0.995833,0.878676,1.0
128,256,1536,2,1,2,1,2,8,64,128,12,1024,3,1,56448.0,52224.0,77824.0,0.0,128.0,73600.0,1.303855,0.998264,0.945724,1.0
128,256,2048,2,1,2,1,2,8,64,128,16,1024,3,1,73856.0,69632.0,102400.0,0.0,128.0,98176.0,1.329289,0.998698,0.95875,1.0
128,320,960,2,2,1,2,1,8,64,128,8,1024,3,1,48768.0,43520.0,66560.0,0.0,128.0,61312.0,1.257218,0.997917,0.921154,1.0
128,640,1024,2,1,2,1,2,8,64,128,8,1024,3,1,97408.0,87040.0,133120.0,0.0,128.0,122752.0,1.260184,0.998958,0.922115,1.0
128,640,2048,2,1,2,1,2,8,64,128,16,1024,3,1,184448.0,174080.0,256000.0,0.0,128.0,245632.0,1.331714,0.999479,0.9595,1.0
128,896,896,2,1,2,1,2,8,64,128,7,1024,3,1,121088.0,106624.0,164864.0,0.0,128.0,150400.0,1.242072,0.99915,0.912267,1.0
128,896,4864,2,1,2,1,2,8,64,128,38,1024,3,1,593280.0,578816.0,831488.0,0.0,128.0,817024.0,1.377131,0.999843,0.982605,1.0
128,960,960,2,2,1,2,1,8,64,128,8,1024,3,1,146048.0,130560.0,199680.0,0.0,128.0,184192.0,1.261174,0.999306,0.922436,1.0
128,960,2560,2,2,1,2,1,8,64,128,20,1024,3,1,341888.0,326400.0,476160.0,0.0,128.0,460672.0,1.347435,0.999722,0.967473,1.0
128,1024,640,2,1,2,1,2,8,64,128,5,1024,3,1,103552.0,87040.0,139264.0,0.0,128.0,122752.0,1.185414,0.998958,0.881434,1.0
128,1024,2304,2,1,2,1,2,8,64,128,18,1024,3,1,329856.0,313344.0,458752.0,0.0,128.0,442240.0,1.340706,0.999711,0.964007,1.0
128,1536,1536,2,1,2,1,2,8,64,128,12,1024,3,1,338048.0,313344.0,466944.0,0.0,128.0,442240.0,1.308217,0.999711,0.947094,1.0
128,1536,8960,2,1,2,1,2,8,64,128,70,1024,3,1,1852544.0,1827840.0,2605056.0,0.0,128.0,2580352.0,1.392869,0.99995,0.990517,1.0
128,2048,640,2,1,2,1,2,8,64,128,5,1024,3,1,206976.0,174080.0,278528.0,0.0,128.0,245632.0,1.186766,0.999479,0.881893,1.0
128,2048,2048,2,1,2,1,2,8,64,128,16,1024,3,1,589952.0,557056.0,819200.0,0.0,128.0,786304.0,1.332827,0.999837,0.959844,1.0
128,2048,2304,2,1,2,1,2,8,64,128,18,1024,3,1,659584.0,626688.0,917504.0,0.0,128.0,884608.0,1.34116,0.999855,0.964146,1.0
128,2048,5632,2,1,2,1,2,8,64,128,44,1024,3,1,1564800.0,1531904.0,2195456.0,0.0,128.0,2162560.0,1.382004,0.999941,0.985016,1.0
128,2048,8192,2,1,2,1,2,8,64,128,64,1024,3,1,2261120.0,2228224.0,3178496.0,0.0,128.0,3145600.0,1.391169,0.999959,0.98965,1.0
128,2304,2048,2,1,2,1,2,8,64,128,16,1024,3,1,663680.0,626688.0,921600.0,0.0,128.0,884608.0,1.332883,0.999855,0.959861,1.0
128,2304,9216,2,1,2,1,2,8,64,128,72,1024,3,1,2857088.0,2820096.0,4018176.0,0.0,128.0,3981184.0,1.393441,0.999968,0.990794,1.0
128,2560,960,2,1,2,1,2,8,64,128,8,1024,3,1,389248.0,348160.0,532480.0,0.0,128.0,491392.0,1.262414,0.99974,0.922837,1.0
128,2560,2560,2,1,2,1,2,8,64,128,20,1024,3,1,911488.0,870400.0,1269760.0,0.0,128.0,1228672.0,1.347985,0.999896,0.967641,1.0
128,2560,10240,2,1,2,1,2,8,64,128,80,1024,3,1,3522688.0,3481600.0,4956160.0,0.0,128.0,4915072.0,1.395262,0.999974,0.99171,1.0
128,4864,896,2,1,2,1,2,8,64,128,7,1024,3,1,656768.0,578816.0,894976.0,0.0,128.0,817024.0,1.244007,0.999843,0.9129,1.0
128,5632,2048,2,1,2,1,2,8,64,128,16,1024,3,1,1622144.0,1531904.0,2252800.0,0.0,128.0,2162560.0,1.333149,0.999941,0.959943,1.0
128,7680,2560,2,1,2,1,2,8,64,128,20,1024,3,1,2734208.0,2611200.0,3809280.0,0.0,128.0,3686272.0,1.348205,0.999965,0.967708,1.0
128,8192,2048,2,1,2,1,2,8,64,128,16,1024,3,1,2359424.0,2228224.0,3276800.0,0.0,128.0,3145600.0,1.333207,0.999959,0.959961,1.0
128,8960,1536,2,1,2,1,2,8,64,128,12,1024,3,1,1971328.0,1827840.0,2723840.0,0.0,128.0,2580352.0,1.308941,0.99995,0.947321,1.0
128,9216,2304,2,1,2,1,2,8,64,128,18,1024,3,1,2967680.0,2820096.0,4128768.0,0.0,128.0,3981184.0,1.341514,0.999968,0.964255,1.0
128,10240,2560,2,1,2,1,2,8,64,128,20,1024,3,1,3645568.0,3481600.0,5079040.0,0.0,128.0,4915072.0,1.348232,0.999974,0.967717,1.0
128,32000,2048,2,1,2,1,2,8,64,128,16,1024,3,1,9216128.0,8704000.0,12800000.0,0.0,128.0,12287872.0,1.333301,0.99999,0.95999,1.0
128,32768,2560,2,1,2,1,2,8,64,128,20,1024,3,1,11665536.0,11141120.0,16252928.0,0.0,128.0,15728512.0,1.348289,0.999992,0.967734,1.0
128,49152,960,2,1,2,1,2,8,64,128,8,1024,3,1,7471232.0,6684672.0,10223616.0,0.0,128.0,9437056.0,1.263119,0.999986,0.923064,1.0
128,49152,2048,2,1,2,1,2,8,64,128,16,1024,3,1,14155904.0,13369344.0,19660800.0,0.0,128.0,18874240.0,1.333312,0.999993,0.959993,1.0
128,50272,2048,2,1,2,1,2,8,64,128,16,1024,3,1,14496389.54,13691397.54,20121600.0,0.0,128.0,19316608.0,1.332512,0.999993,0.959994,0.9994
128,100352,2048,2,1,2,1,2,8,64,128,16,1024,3,1,28901504.0,27295744.0,40140800.0,0.0,128.0,38535040.0,1.333323,0.999997,0.959997,1.0
128,151936,896,2,1,2,1,2,8,64,128,7,1024,3,1,20511488.0,18080384.0,27956224.0,0.0,128.0,25525120.0,1.24443,0.999995,0.913039,1.0
128,151936,1536,2,1,2,1,2,8,64,128,12,1024,3,1,33426048.0,30994944.0,46188544.0,0.0,128.0,43757440.0,1.309082,0.999997,0.947366,1.0
128,256000,2304,2,1,2,1,2,8,64,128,18,1024,3,1,82432128.0,78336000.0,114688000.0,0.0,128.0,110591872.0,1.341611,0.999999,0.964285,1.0
128,262144,640,2,1,2,1,2,8,64,128,5,1024,3,1,26476672.0,22282240.0,35651584.0,0.0,128.0,31457152.0,1.188108,0.999996,0.882349,1.0
256,128,896,2,1,2,1,2,8,64,128,7,1024,3,1,34688.0,30464.0,47104.0,0.0,128.0,42880.0,1.236162,0.997024,0.910326,1.0
256,256,640,2,1,2,1,2,8,64,128,5,1024,3,1,51840.0,43520.0,69632.0,0.0,128.0,61312.0,1.182716,0.997917,0.880515,1.0
256,256,1536,2,1,2,1,2,8,64,128,12,1024,3,1,112768.0,104448.0,155648.0,0.0,128.0,147328.0,1.30647,0.999132,0.946546,1.0
256,256,2048,2,1,2,1,2,8,64,128,16,1024,3,1,147584.0,139264.0,204800.0,0.0,128.0,196480.0,1.33131,0.999349,0.959375,1.0
256,320,960,2,2,1,2,1,8,64,128,8,1024,3,1,97408.0,87040.0,133120.0,0.0,128.0,122752.0,1.260184,0.998958,0.922115,1.0
256,640,1024,2,1,2,1,2,8,64,128,8,1024,3,1,194688.0,174080.0,266240.0,0.0,128.0,245632.0,1.26167,0.999479,0.922596,1.0
256,640,2048,2,1,2,1,2,8,64,128,16,1024,3,1,368768.0,348160.0,512000.0,0.0,128.0,491392.0,1.332523,0.99974,0.95975,1.0
256,896,896,2,1,2,1,2,8,64,128,7,1024,3,1,242048.0,213248.0,329728.0,0.0,128.0,300928.0,1.243258,0.999575,0.912655,1.0
256,896,4864,2,1,2,1,2,8,64,128,38,1024,3,1,1186432.0,1157632.0,1662976.0,0.0,128.0,1634176.0,1.377387,0.999922,0.982682,1.0
256,960,960,2,2,1,2,1,8,64,128,8,1024,3,1,291968.0,261120.0,399360.0,0.0,128.0,368512.0,1.262166,0.999653,0.922756,1.0
256,960,2560,2,2,1,2,1,8,64,128,20,1024,3,1,683648.0,652800.0,952320.0,0.0,128.0,921472.0,1.347875,0.999861,0.967608,1.0
256,1024,640,2,1,2,1,2,8,64,128,5,1024,3,1,206976.0,174080.0,278528.0,0.0,128.0,245632.0,1.186766,0.999479,0.881893,1.0
256,1024,2304,2,1,2,1,2,8,64,128,18,1024,3,1,659584.0,626688.0,917504.0,0.0,128.0,884608.0,1.34116,0.999855,0.964146,1.0
256,1536,1536,2,1,2,1,2,8,64,128,12,1024,3,1,675968.0,626688.0,933888.0,0.0,128.0,884608.0,1.308654,0.999855,0.947231,1.0
256,1536,8960,2,1,2,1,2,8,64,128,70,1024,3,1,3704960.0,3655680.0,5210112.0,0.0,128.0,5160832.0,1.392952,0.999975,0.990541,1.0
256,2048,640,2,1,2,1,2,8,64,128,5,1024,3,1,413824.0,348160.0,557056.0,0.0,128.0,491392.0,1.187442,0.99974,0.882123,1.0
256,2048,2048,2,1,2,1,2,8,64,128,16,1024,3,1,1179776.0,1114112.0,1638400.0,0.0,128.0,1572736.0,1.33308,0.999919,0.959922,1.0
256,2048,2304,2,1,2,1,2,8,64,128,18,1024,3,1,1319040.0,1253376.0,1835008.0,0.0,128.0,1769344.0,1.341388,0.999928,0.964216,1.0
256,2048,5632,2,1,2,1,2,8,64,128,44,1024,3,1,3129472.0,3063808.0,4390912.0,0.0,128.0,4325248.0,1.382102,0.99997,0.985045,1.0
256,2048,8192,2,1,2,1,2,8,64,128,64,1024,3,1,4522112.0,4456448.0,6356992.0,0.0,128.0,6291328.0,1.391237,0.99998,0.989671,1.0
256,2304,2048,2,1,2,1,2,8,64,128,16,1024,3,1,1327232.0,1253376.0,1843200.0,0.0,128.0,1769344.0,1.333108,0.999928,0.959931,1.0
256,2304,9216,2,1,2,1,2,8,64,128,72,1024,3,1,5714048.0,5640192.0,8036352.0,0.0,128.0,7962496.0,1.393495,0.999984,0.99081,1.0
256,2560,960,2,1,2,1,2,8,64,128,8,1024,3,1,778368.0,696320.0,1064960.0,0.0,128.0,982912.0,1.262786,0.99987,0.922957,1.0
256,2560,2560,2,1,2,1,2,8,64,128,20,1024,3,1,1822848.0,1740800.0,2539520.0,0.0,128.0,2457472.0,1.34815,0.999948,0.967692,1.0
256,2560,10240,2,1,2,1,2,8,64,128,80,1024,3,1,7045248.0,6963200.0,9912320.0,0.0,128.0,9830272.0,1.395305,0.999987,0.991723,1.0
256,4864,896,2,1,2,1,2,8,64,128,7,1024,3,1,1313408.0,1157632.0,1789952.0,0.0,128.0,1634176.0,1.244226,0.999922,0.912972,1.0
256,5632,2048,2,1,2,1,2,8,64,128,16,1024,3,1,3244160.0,3063808.0,4505600.0,0.0,128.0,4325248.0,1.333241,0.99997,0.959972,1.0
256,7680,2560,2,1,2,1,2,8,64,128,20,1024,3,1,5468288.0,5222400.0,7618560.0,0.0,128.0,7372672.0,1.34826,0.999983,0.967725,1.0
256,8192,2048,2,1,2,1,2,8,64,128,16,1024,3,1,4718720.0,4456448.0,6553600.0,0.0,128.0,6291328.0,1.33327,0.99998,0.95998,1.0
256,8960,1536,2,1,2,1,2,8,64,128,12,1024,3,1,3942528.0,3655680.0,5447680.0,0.0,128.0,5160832.0,1.309016,0.999975,0.947345,1.0
256,9216,2304,2,1,2,1,2,8,64,128,18,1024,3,1,5935232.0,5640192.0,8257536.0,0.0,128.0,7962496.0,1.341564,0.999984,0.96427,1.0
256,10240,2560,2,1,2,1,2,8,64,128,20,1024,3,1,7291008.0,6963200.0,10158080.0,0.0,128.0,9830272.0,1.348273,0.999987,0.967729,1.0
256,32000,2048,2,1,2,1,2,8,64,128,16,1024,3,1,18432128.0,17408000.0,25600000.0,0.0,128.0,24575872.0,1.333317,0.999995,0.959995,1.0
256,32768,2560,2,1,2,1,2,8,64,128,20,1024,3,1,23330944.0,22282240.0,32505856.0,0.0,128.0,31457152.0,1.348302,0.999996,0.967738,1.0
256,49152,960,2,1,2,1,2,8,64,128,8,1024,3,1,14942336.0,13369344.0,20447232.0,0.0,128.0,18874240.0,1.263139,0.999993,0.923071,1.0
256,49152,2048,2,1,2,1,2,8,64,128,16,1024,3,1,28311680.0,26738688.0,39321600.0,0.0,128.0,37748608.0,1.333323,0.999997,0.959997,1.0
