M,N,K,g,gm,gn,act_reuse_groups,wgt_reuse_groups,mtile,ntile,ktile,k_iters,area_x_g,resident_blocks,phase_count,cycles_total,cycles_compute,cycles_memory,cycles_control,cycles_exposed_load,overlap_hidden_cycles,overlap_hidden_ratio,overlap_hidden_load_ratio,overlap_ratio,utilization
128,128,896,2,2,1,2,1,8,64,64,14,1024,3,1,23624.0,16128.0,30720.0,0.0,5448.0,23224.0,0.983068,0.809989,0.75599,1.0
128,256,640,2,2,1,2,1,8,64,64,10,1024,3,1,34888.0,23040.0,45056.0,0.0,7752.0,33208.0,0.951846,0.810742,0.737038,1.0
128,256,1536,2,2,1,2,1,8,64,64,24,1024,3,1,77896.0,55296.0,102400.0,0.0,18504.0,79800.0,1.024443,0.811768,0.779297,1.0
128,256,2048,2,2,1,2,1,8,64,64,32,1024,3,1,102472.0,73728.0,135168.0,0.0,24648.0,106424.0,1.038567,0.811951,0.787346,1.0
128,320,960,2,2,1,2,1,8,64,64,15,1024,3,1,62792.0,43200.0,81920.0,0.0,14472.0,62328.0,0.992611,0.811562,0.76084,1.0
128,640,1024,2,2,1,2,1,8,64,64,16,1024,3,1,133192.0,92160.0,174080.0,0.0,30792.0,133048.0,0.998919,0.812061,0.764292,1.0
128,640,2048,2,2,1,2,1,8,64,64,32,1024,3,1,256072.0,184320.0,337920.0,0.0,61512.0,266168.0,1.039426,0.81228,0.787666,1.0
128,896,896,2,2,1,2,1,8,64,64,14,1024,3,1,164936.0,112896.0,215040.0,0.0,37704.0,163000.0,0.988262,0.812141,0.757999,1.0
128,896,4864,2,2,1,2,1,8,64,64,76,1024,3,1,831560.0,612864.0,1103872.0,0.0,204360.0,885176.0,1.064476,0.812434,0.801883,1.0
128,960,960,2,2,1,2,1,8,64,64,15,1024,3,1,188232.0,129600.0,245760.0,0.0,43272.0,187128.0,0.994135,0.812187,0.761426,1.0
128,960,2560,2,2,1,2,1,8,64,64,40,1024,3,1,476232.0,345600.0,629760.0,0.0,115272.0,499128.0,1.048077,0.812383,0.792569,1.0
