M,N,K,g,gm,gn,act_reuse_groups,wgt_reuse_groups,mtile,ntile,ktile,k_iters,area_x_g,resident_blocks,phase_count,cycles_total,cycles_compute,cycles_memory,cycles_control,cycles_exposed_load,overlap_hidden_cycles,overlap_hidden_ratio,overlap_hidden_load_ratio,overlap_ratio,utilization
128,32000,2048,2,1,2,1,2,16,32,64,32,1024,3,1,20480072.0,9216000.0,25088000.0,0.0,10752072.0,13823928.0,0.674994,0.562497,0.551018,1.0
128,32768,2560,2,1,2,1,2,16,32,64,40,1024,3,1,26083400.0,11796480.0,31981568.0,0.0,13762632.0,17694648.0,0.678387,0.562498,0.553276,1.0
128,49152,960,2,1,2,1,2,16,32,64,15,1024,3,1,15163464.0,6635520.0,18481152.0,0.0,7741512.0,9953208.0,0.656394,0.562496,0.53856,1.0
128,49152,2048,2,1,2,1,2,16,32,64,32,1024,3,1,31457352.0,14155776.0,38535168.0,0.0,16515144.0,21233592.0,0.674996,0.562498,0.551019,1.0
128,50272,2048,2,2,1,2,1,16,32,64,32,1024,3,1,32174152.0,14478336.0,39413248.0,0.0,16891464.0,21717432.0,0.674996,0.562498,0.551019,1.0
128,100352,2048,2,1,2,1,2,16,32,64,32,1024,3,1,64225352.0,28901376.0,78675968.0,0.0,33718344.0,43351992.0,0.674998,0.562499,0.551019,1.0
128,151936,896,2,1,2,1,2,16,32,64,14,1024,3,1,43909576.0,19143936.0,53481472.0,0.0,22334664.0,28715832.0,0.653977,0.562499,0.53693,1.0
128,151936,1536,2,1,2,1,2,16,32,64,24,1024,3,1,73537096.0,32818176.0,89946112.0,0.0,38287944.0,49227192.0,0.66942,0.562499,0.547296,1.0
128,256000,2304,2,1,2,1,2,16,32,64,36,1024,3,1,183808072.0,82944000.0,225280000.0,0.0,96768072.0,124415928.0,0.67688,0.5625,0.552272,1.0
128,262144,640,2,1,2,1,2,16,32,64,10,1024,3,1,55312456.0,23592960.0,67108864.0,0.0,27525192.0,35389368.0,0.639808,0.562499,0.527343,1.0
256,128,896,2,1,2,1,2,16,32,64,14,1024,3,1,74056.0,32256.0,90112.0,0.0,37704.0,48312.0,0.652371,0.561663,0.536133,1.0
256,256,640,2,1,2,1,2,16,32,64,10,1024,3,1,108104.0,46080.0,131072.0,0.0,53832.0,69048.0,0.638718,0.561914,0.526794,1.0
256,256,1536,2,1,2,1,2,16,32,64,24,1024,3,1,247880.0,110592.0,303104.0,0.0,129096.0,165816.0,0.668937,0.562256,0.54706,1.0
256,256,2048,2,1,2,1,2,16,32,64,32,1024,3,1,327752.0,147456.0,401408.0,0.0,172104.0,221112.0,0.674632,0.562317,0.550841,1.0
256,320,960,2,1,2,1,2,16,32,64,15,1024,3,1,197512.0,86400.0,240640.0,0.0,100872.0,129528.0,0.655798,0.562187,0.538265,1.0
256,640,1024,2,1,2,1,2,16,32,64,16,1024,3,1,419912.0,184320.0,512000.0,0.0,215112.0,276408.0,0.658252,0.562354,0.539859,1.0
