rank,g,gm,gn,act_reuse_groups,wgt_reuse_groups,mtile,ntile,ktile,area_x_g,picked_shapes,avg_total_cycles
1,2,1,2,1,2,8,64,128,1024,195,44850880.553
2,2,2,1,2,1,8,64,128,1024,15,1108522.667
